Filter ID,Field_blank_corr_mass_mg
KHU1448,0.07
KHU1449,0.0587
KHU1450,0.0704
KHU1451,0.2603
KHU1452,0.1001
KHU1453,0.3601
KHU1454,0.2316
KHU1455,0.1211
KHU1456,0.5365
KHU1457,0.3408
KHU1458,0.2617
KHU1459,0.131
KHU1460,0.17
KHU1461,0.0728
KHU1462,0.1071
KHU1463,0.2541
KHU1464,0.4283
KHU1465,0.3484
KHU1466,0.3321
KHU1467,0.0672
KHU1468,0.1867
KHU1469,0.2661
KHU1470,0.2377
KHU1471,0.3479
KHU1472,0.1093
KHU1473,0.1449
KHU1474,0.2764
KHU1475,0.2826
KHU1476,0.5891
KHU1477,0.0944
KHU1478,0.5883
KHU1479,0.3764
KHU1480,0.2655
KHU1481,0.3024
KHU1482,0.104
KHU1483,0.0481
KHU1484,0.1345
KHU1485,0.1966
KHU1486,0.1315
KHU1487,0.3387
KHU1488,0.1017
KHU1489,0.2873
KHU1490,0.0548
KHU1492,0.141
KHU1493,0.267
KHU1494,0.2287
KHU1495,0.5565
KHU1496,0.3043
KHU1497,0.3447
KHU1498,0.8533
KHU1499,0.253
KHU1500,0.9067
KHU1502,0.2235
KHU1503,0.1424
KHU1504,1.1373
KHU1506,1.0383
KHU1507,1.4412
KHU1508,1.0203
KHU1509,0.3295
KHU1510,0.2646
KHU1511,0.7715
KHU1512,0.3978
KHU1514,0.4911
KHU1515,0.1733
KHU1516,0.2507
KHU1517,0.1504
KHU1518,0.3069
KHU1519,0.1779
KHU1520,0.1766
KHU1522,0.5701
KHU1523,0.4238
KHU1524,0.7473
KHU1525,0.2118
KHU1526,0.3336
KHU1527,0.1431
KHU1528,0.2183
KHU1529,0.2139
KHU1530,0.2547
KHU1531,0.4099
KHU1532,0.2123
KHU1533,0.2865
KHU1534,0.1187
KHU1535,0.1211
KHU1536,0.6891
KHU1537,0.503
KHU1538,0.2725
KHU1539,0.6029
KHU1540,0.5175
KHU1541,0.1768
KHU1542,0.5779
KHU1543,0.1161
KHU1544,0.2752
KHU1545,0.8385
KHU1546,0.5438
KHU1547,0.346
KHU1548,0.1813
KHU1549,0.1765
KHU1550,0.0957
KHU1600,0
KHU1604,0.2977
KHU1605,0.3433
KHU1606,0.0911
KHU1607,0.2246
KHU1612,0.1906
KHU1616,0.134
KHU1620,0.0562
KHU1621,0.5834
KHU1622,0.2898
KHU1628,0.0948
KHU1630,0.0776
KHU1631,0.116
KHU1633,0.3317
KHU1634,0.5812
KHU1635,0.105
KHU1637,0.0795
KHU1638,0.1072
KHU1639,0.1213
KHU1644,0.0589
KHU1646,0.0885
KHU1647,0.1349
KHU1651,0.2895
KHU1652,0.1458
KHU1653,0.3591
KHU1654,0.1557
KHU1655,0.0446
KHU1656,0.0353
KHU1662,0.044
KHU1664,0.3973
KHU1665,0.0704
KHU1669,0.1946
KHU1672,0.0723
KHU1673,0.032
KHU1674,0.4852
KHU1675,0.2041
KHU1676,0.2918
KHU1677,0.2054
KHU1678,0.1734
KHU1679,0.0211
KHU1680,0.1555
KHU1681,0.3852
KHU1682,0.2224
KHU1683,0.2526
KHU1685,0.8175
KHU1686,0.3217
KHU1688,0.3266
KHU1689,0.252
KHU1690,0
KHU1693,0.1203
KHU1694,0.0582
KHU1695,0.6563
