Filter ID,Field_blank_corr_mass_mg
KHU0345,0.0475
KHU0346,0.303
KHU0347,0.1213
KHU0348,0.2389
KHU0349,0.1252
KHU0350,0.4283
KHU0351,0.2246
KHU0352,0.1696
KHU0353,0.1228
KHU0354,0.2547
KHU0355,0.6488
KHU0356,0.2074
KHU0357,0.3051
KHU0358,0.0942
KHU0360,0.4066
KHU0361,0.403
KHU0362,0.2421
KHU0363,0.3569
KHU0364,0.4667
KHU0365,0.521
KHU0366,0.3245
KHU0367,0.2952
KHU0368,0.1257
KHU0369,0.3913
KHU0370,0.5785
KHU0371,0.5782
KHU0372,0.4405
KHU0373,0.3242
KHU0374,0.3585
KHU0375,0.2475
KHU0376,0.1292
KHU0377,0.1878
KHU0378,0.2417
KHU0379,0.4411
KHU0380,0.1018
KHU0381,0.6501
KHU0382,0.2739
KHU0383,0.3917
KHU0384,0.2947
KHU0385,0.455
KHU0386,0.5595
KHU0387,0.2028
KHU0388,0.1573
KHU0389,0.424
KHU0390,0.2073
KHU0391,0.0823
KHU0392,0.1547
KHU0393,0.2288
KHU0394,0.3627
KHU0395,0.3129
KHU0396,0.1417
KHU0398,0.3835
KHU0399,0.1183
KHU0401,0.1723
KHU0403,0.2681
KHU0405,0.1188
KHU0406,0.3042
KHU0407,0.4027
KHU0408,0.1934
KHU0409,0.115
KHU0410,0.1403
KHU0416,0.1273
KHU0417,0.0758
KHU0418,0.5953
KHU0419,0.3105
KHU0420,0.2744
KHU0421,0.2561
KHU0422,0.3744
KHU0423,0.3286
KHU0424,1.1146
KHU0425,0.1061
KHU0426,0.4405
KHU0427,0.2042
KHU0428,0.1812
KHU0429,0.3108
KHU0430,0.3351
KHU0431,0.2761
KHU0432,0.7756
KHU0433,0.1802
KHU0434,0.2354
KHU0435,0.4897
KHU0436,0.8103
KHU0437,0.3682
KHU0438,0.0996
KHU0439,0.1389
KHU0440,0.2602
KHU0441,0.2183
KHU0442,0.1427
KHU0443,0.6362
KHU0444,0.7095
KHU0445,0.3718
KHU0446,0.2344
KHU0447,0.4079
KHU0448,0.5686
KHU0449,0.2024
KHU0450,0.3045
KHU0451,0.134
KHU0452,0.2251
KHU0453,0.1057
KHU0454,0.7508
KHU0455,0.549
KHU0456,0.2691
KHU0457,0.0903
KHU0458,0.1826
KHU0459,0.1844
KHU0460,0.1364
KHU0461,0.1697
KHU0462,0.1228
KHU0463,0.1687
KHU0464,0.0589
KHU0465,0.5901
KHU0466,0.1588
KHU0467,0.242
KHU0468,0.1261
KHU0469,0.1051
KHU0470,0.2052
KHU0471,0.1971
KHU0472,0.1618
KHU0473,0.2042
KHU0474,0.3614
KHU0475,0.2708
KHU0476,0.4078
KHU0477,0.0986
KHU0478,0.222
KHU0479,0.0894
KHU0480,0.0242
KHU0481,0.2805
KHU0482,0.2207
KHU0483,0.2602
KHU0485,0.3032
KHU0486,0.1144
KHU0487,0.0838
KHU0488,0.1172
KHU0489,0.1017
KHU0490,0.0954
KHU0491,0.0959
KHU0492,0.0118
KHU0493,0.0876
KHU0494,0.0994
KHU0495,0.163
KHU0496,0.127
KHU0497,0.3957
KHU0498,0.5688
KHU0499,0.1541
KHU0500,0.0824
KHU0501,0.1118
KHU0502,0.1312
KHU0503,0.5096
KHU0504,0.1778
KHU0505,0.1882
KHU0506,0.239
KHU0507,0.3234
KHU0508,0.3066
KHU0509,0.2655
KHU0510,0.5537
KHU0521,0.1235
KHU0522,0.083
KHU0523,0.1937
KHU0524,0.1271
KHU0525,0.2181
KHU0526,0.1661
KHU0527,0.3726
KHU0528,0.1446
KHU0529,0.135
KHU0530,0.1127
KHU0531,0.1861
KHU0532,0.284
KHU0533,0.4205
KHU0534,0.1647
KHU0535,0.0521
KHU0536,0.4257
KHU0537,0.3326
KHU0538,0.3232
KHU0539,0.1269
KHU0540,0.0866
KHU0541,0.2007
KHU0542,0.1812
KHU0543,0.247
KHU0544,0.1475
KHU0545,0.1353
KHU0546,0.3414
KHU0547,0.0748
KHU0548,0.1275
KHU0549,0.3205
KHU0550,0.0372
KHU0551,0.4135
KHU0552,0.1045
KHU0553,0.0564
KHU0554,0.1714
KHU0555,0.1134
KHU0556,0.5827
KHU0557,0.3103
KHU0558,1.2059
KHU0559,0.2179
KHU0560,0.3323
KHU0561,0.4178
KHU0562,0.3218
KHU0563,0.1546
KHU0564,0.231
KHU0566,0.4995
KHU0567,0.1139
KHU0568,0.126
KHU0569,0.26
KHU0570,0.0687
KHU0571,0.2974
KHU0572,0.1414
KHU0573,0.4305
KHU0575,0.3284
KHU0576,0.1396
KHU0577,0.1182
KHU0578,0.1785
KHU0579,0.293
KHU0580,0.2151
KHU0581,0.1383
KHU0582,0.4555
KHU0584,0.125
KHU0586,0.199
KHU0587,0.3491
KHU0588,0.1475
KHU0589,0.3645
KHU0590,0.2947
KHU0591,0.1152
KHU0592,0.0583
KHU0593,0.0778
KHU0594,0.0595
KHU0595,0.0527
KHU0596,0.041
KHU0597,0.171
KHU0598,0.1435
KHU0599,0.1247
KHU0600,0.0434
KHU0601,0.068
KHU0602,0.2522
KHU0603,0.8483
KHU0604,0.0702
KHU0605,0.0506
KHU0606,0.1214
KHU0607,0.2105
KHU0608,0.7044
KHU0609,0.0408
KHU0610,0.1327
KHU0611,0.0745
KHU0612,0.0649
KHU0613,0.095
KHU0614,0.0956
KHU0615,0.2612
KHU0616,0.1048
KHU0617,0.1951
KHU0618,0.0441
KHU0619,0.1336
KHU0620,0.1093
KHU0621,0.1565
KHU0622,0.0751
KHU0623,0.0554
KHU0624,0.0305
KHU0625,0.0518
KHU0626,0.5919
KHU0627,0.3232
KHU0628,0.0272
KHU0629,0.0692
KHU0630,0.0968
KHU0631,0.442
KHU0632,0.4343
KHU0633,0.0571
KHU0634,0.1701
KHU0635,0.0352
KHU0636,0.2085
KHU0637,0.0946
KHU0639,0.2636
KHU0640,0.075
KHU0641,0.4678
KHU0642,0.3366
KHU0643,0.2749
KHU0644,0.0276
KHU0645,0.0365
KHU0646,0.2858
KHU0647,0.3416
KHU0648,0.0545
KHU0649,0.0369
KHU0650,0.0442
KHU0651,0.3308
KHU0652,0.0453
KHU0653,0.4976
KHU0654,0.2235
KHU0655,0.1087
KHU0656,0.0451
KHU0657,0.3613
KHU0658,0.0939
KHU0659,0.1018
KHU0660,0.1468
KHU0661,0.1311
KHU0662,0.0408
KHU0663,0.106
KHU0664,0.0567
KHU0665,0.1757
KHU0666,0.1678
